Record;Date;Time;Stump;Exposure;INPUT1;INPUT2;D;FAPAR;Plot
0000000;2024-06-08;12:20:16.993;6;N;1963,9;57,96;0,029513;0,97049;2
0000001;2024-06-08;12:20:20.992;6;N;1954,4;94,398;0,048301;0,9517;2
0000002;2024-06-08;12:20:25.992;6;N;1975,1;1426,4;0,72222;0,27778;2
0000003;2024-06-08;12:20:29.992;6;N;1974,8;122,96;0,062268;0,93773;2
0000004;2024-06-08;12:20:33.992;6;N;1942,6;492,24;0,25339;0,74661;2
0000005;2024-06-08;12:20:38.992;6;N;1929,5;99,276;0,051453;0,94855;2
0000006;2024-06-08;12:20:54.991;6;N;1985,6;196,73;0,099074;0,90093;2
0000007;2024-06-08;12:20:58.991;6;N;1983;1667,9;0,8411;0,1589;2
0000008;2024-06-08;12:21:08.990;6;N;1966,3;226,84;0,11536;0,88464;2
0000018;2024-06-08;12:24:54.979;6;S;1888,3;670,93;0,3553;0,6447;2
0000019;2024-06-08;12:24:59.979;6;S;1905,6;465,69;0,24438;0,75562;2
0000020;2024-06-08;12:25:05.979;6;S;1885,4;897,83;0,4762;0,5238;2
0000021;2024-06-08;12:25:11.979;6;S;1879,3;313,16;0,16664;0,83336;2
0000022;2024-06-08;12:25:17.978;6;S;1876,4;1891,3;1,008;-0,0079691;2
0000023;2024-06-08;12:25:21.978;6;S;1846,7;1604,5;0,86886;0,13114;2
0000024;2024-06-08;12:25:26.978;6;S;1853,4;465,62;0,25122;0,74878;2
0000025;2024-06-08;12:25:30.978;6;S;1851,1;735,56;0,39736;0,60264;2
0000026;2024-06-08;12:25:33.977;6;S;1837,3;232,8;0,12671;0,87329;2
0000027;2024-06-08;12:27:06.973;7;N;1928,5;308,87;0,16016;0,83984;2
0000028;2024-06-08;12:27:10.973;7;N;1876,9;63,673;0,033925;0,96608;2
0000029;2024-06-08;12:27:14.973;7;N;1851,4;40,397;0,02182;0,97818;2
0000030;2024-06-08;12:27:18.972;7;N;1846,9;73,21;0,03964;0,96036;2
0000031;2024-06-08;12:27:21.972;7;N;1841,7;86,948;0,047211;0,95279;2
