Record;Date;Time;Stump;Exposition;INPUT1;INPUT2;D;FAPAR;;
0000000;2024-07-13;10:39:51.000;;;498;251,01;0,50404;0,49596;;
0000001;2024-07-13;10:42:16.993;1;N;449,12;15,791;0,03516;0,96484;;
0000002;2024-07-13;10:42:19.993;1;N;450,02;12,385;0,027522;0,97248;;
0000003;2024-07-13;10:42:22.993;1;N;448,03;93,77;0,2093;0,7907;;
0000004;2024-07-13;10:42:30.992;1;N;449,41;11,358;0,025273;0,97473;;
0000005;2024-07-13;10:42:33.992;1;N;448,98;15,407;0,034315;0,96568;;
0000006;2024-07-13;10:42:37.992;1;N;451,95;53,995;0,11947;0,88053;;
0000007;2024-07-13;10:42:46.991;1;N;454,23;11,558;0,025445;0,97455;;
0000008;2024-07-13;10:42:48.991;1;N;450,45;13,033;0,028932;0,97107;;
0000009;2024-07-13;10:42:51.991;1;N;455,19;91,965;0,20204;0,79796;;
0000010;2024-07-13;10:44:04.988;1;S;485,92;43,509;0,089538;0,91046;;
0000011;2024-07-13;10:44:07.988;1;S;482,14;147,16;0,30521;0,69479;;
0000012;2024-07-13;10:44:11.987;1;S;482,37;123,63;0,2563;0,7437;;
0000013;2024-07-13;10:44:15.987;1;S;486,92;32,974;0,067719;0,93228;;
0000014;2024-07-13;10:44:19.987;1;S;486,29;17,982;0,036978;0,96302;;
0000015;2024-07-13;10:44:28.987;1;S;489,56;22,775;0,046521;0,95348;;
0000016;2024-07-13;10:44:35.986;1;S;484,44;3,9077;0,0080664;0,99193;;
0000017;2024-07-13;10:44:38.986;1;S;483,67;12,898;0,026667;0,97333;;
0000018;2024-07-13;10:44:42.986;1;S;478,79;33,194;0,069328;0,93067;;
0000019;2024-07-13;10:48:39.974;2;N;579,42;34,493;0,05953;0,94047;;
0000020;2024-07-13;10:48:42.974;2;N;581,82;46,265;0,079517;0,92048;;
0000021;2024-07-13;10:48:45.974;2;N;587,21;168,06;0,28619;0,71381;;
0000022;2024-07-13;10:48:52.974;2;N;562,84;15,299;0,027182;0,97282;;
0000023;2024-07-13;10:48:54.974;2;N;568,18;33,282;0,058575;0,94142;;
0000024;2024-07-13;10:48:57.974;2;N;574,01;31,573;0,055003;0,945;;
0000025;2024-07-13;10:49:03.973;2;N;579,34;13,342;0,023029;0,97697;;
0000026;2024-07-13;10:49:05.973;2;N;581,87;38,888;0,066834;0,93317;;
0000027;2024-07-13;10:49:08.973;2;N;586,66;43,282;0,073778;0,92622;;
0000028;2024-07-13;10:50:01.971;2;S;612,54;51,698;0,0844;0,9156;;
0000029;2024-07-13;10:50:04.970;2;S;612;150,71;0,24627;0,75373;;
0000030;2024-07-13;10:50:06.970;2;S;614,31;187,59;0,30537;0,69463;;
0000031;2024-07-13;10:50:11.970;2;S;612,21;41,378;0,067587;0,93241;;
0000032;2024-07-13;10:50:13.970;2;S;617,85;214,95;0,34791;0,65209;;
0000033;2024-07-13;10:50:15.970;2;S;616,96;60,892;0,098696;0,9013;;
0000034;2024-07-13;10:50:19.970;2;S;616,13;79,508;0,12904;0,87096;;
0000035;2024-07-13;10:50:25.969;2;S;629,85;9,512;0,015102;0,9849;;
0000036;2024-07-13;10:50:28.969;2;S;631,79;54,797;0,086732;0,91327;;
0000037;2024-07-13;10:53:00.962;3;N;695,65;6,893;0,0099087;0,99009;;
0000038;2024-07-13;10:53:05.962;3;N;752,53;63,015;0,083739;0,91626;;
0000039;2024-07-13;10:53:14.961;3;N;810,15;186,18;0,22981;0,77019;;
0000040;2024-07-13;10:53:19.961;3;N;851,77;9,4331;0,011075;0,98893;;
0000041;2024-07-13;10:53:24.961;3;N;826,26;10,05;0,012164;0,98784;;
0000042;2024-07-13;10:53:27.961;3;N;783,96;32,457;0,041402;0,9586;;
0000043;2024-07-13;10:53:38.960;3;N;802,59;20,965;0,026121;0,97388;;
0000044;2024-07-13;10:53:40.960;3;N;792,96;46,301;0,05839;0,94161;;
0000045;2024-07-13;10:53:47.960;3;N;812,09;70,017;0,086219;0,91378;;
0000046;2024-07-13;10:55:19.955;3;S;733,47;12,296;0,016764;0,98324;;
0000047;2024-07-13;10:55:22.955;3;S;710,01;42,865;0,060372;0,93963;;
0000048;2024-07-13;10:55:27.955;3;S;717,52;84,525;0,1178;0,8822;;
0000049;2024-07-13;10:55:33.955;3;S;721,6;7,5561;0,010471;0,98953;;
0000050;2024-07-13;10:55:36.954;3;S;715,76;15,321;0,021404;0,9786;;
0000051;2024-07-13;10:55:39.954;3;S;718,84;19,433;0,027033;0,97297;;
0000052;2024-07-13;10:55:43.954;3;S;716,12;10,948;0,015288;0,98471;;
0000053;2024-07-13;10:55:47.954;3;S;712,37;26,859;0,037703;0,9623;;
0000054;2024-07-13;10:55:51.954;3;S;715,5;13,829;0,019328;0,98067;;
0000055;2024-07-13;10:59:10.944;4;N;729,74;13,679;0,018745;0,98125;;
0000056;2024-07-13;10:59:12.944;4;N;735,11;14,433;0,019633;0,98037;;
0000057;2024-07-13;10:59:15.944;4;N;758,05;59,085;0,077944;0,92206;;
0000058;2024-07-13;10:59:22.944;4;N;766,47;7,9602;0,010386;0,98961;;
0000059;2024-07-13;10:59:26.943;4;N;769,05;7,4651;0,0097068;0,99029;;
0000060;2024-07-13;10:59:30.943;4;N;773,51;25,699;0,033224;0,96678;;
0000061;2024-07-13;10:59:41.943;4;N;800,24;6,0951;0,0076166;0,99238;;
0000062;2024-07-13;10:59:43.943;4;N;807,25;29,727;0,036825;0,96318;;
0000063;2024-07-13;10:59:47.942;4;N;816,04;34,937;0,042813;0,95719;;
0000064;2024-07-13;11:00:35.940;4;S;750,95;26,618;0,035446;0,96455;;
0000065;2024-07-13;11:00:38.940;4;S;759,27;62,569;0,082406;0,91759;;
0000066;2024-07-13;11:00:43.940;4;S;794,05;48,258;0,060774;0,93923;;
0000067;2024-07-13;11:00:49.939;4;S;738,22;9,4898;0,012855;0,98714;;
0000068;2024-07-13;11:00:52.939;4;S;735,54;40,631;0,05524;0,94476;;
0000069;2024-07-13;11:00:55.939;4;S;734,56;42,506;0,057867;0,94213;;
0000070;2024-07-13;11:01:05.939;4;S;694,05;18,036;0,025987;0,97401;;
0000071;2024-07-13;11:01:09.939;4;S;687,45;32,89;0,047843;0,95216;;
0000072;2024-07-13;11:01:13.938;4;S;696,21;17,658;0,025363;0,97464;;
0000073;2024-07-13;11:05:04.927;5;N;710,21;126,55;0,17819;0,82181;;
0000074;2024-07-13;11:05:07.927;5;N;695,41;135,3;0,19457;0,80543;;
0000075;2024-07-13;11:05:11.927;5;N;678,57;83,594;0,12319;0,87681;;
0000076;2024-07-13;11:05:16.927;5;N;658,66;105,63;0,16037;0,83963;;
0000077;2024-07-13;11:05:23.926;5;N;622,74;118,7;0,19061;0,80939;;
0000078;2024-07-13;11:05:26.926;5;N;618,89;94,46;0,15263;0,84737;;
0000079;2024-07-13;11:05:30.926;5;N;611,66;78,912;0,12901;0,87099;;
0000080;2024-07-13;11:05:34.926;5;N;603,57;93,101;0,15425;0,84575;;
0000081;2024-07-13;11:05:36.926;5;N;599,82;112,17;0,18701;0,81299;;
0000082;2024-07-13;11:06:04.924;5;S;548,47;87,406;0,15936;0,84064;;
0000083;2024-07-13;11:06:07.924;5;S;554,03;96,841;0,17479;0,82521;;
0000084;2024-07-13;11:06:12.924;5;S;554,39;24,906;0,044925;0,95507;;
0000085;2024-07-13;11:06:16.924;5;S;560,67;44,782;0,079872;0,92013;;
0000086;2024-07-13;11:06:20.924;5;S;558,54;109,29;0,19567;0,80433;;
0000087;2024-07-13;11:06:31.923;5;S;578,61;25,874;0,044718;0,95528;;
0000088;2024-07-13;11:06:36.923;5;S;587,82;91,548;0,15574;0,84426;;
0000089;2024-07-13;11:06:38.923;5;S;589,89;105,31;0,17853;0,82147;;
0000090;2024-07-13;11:06:42.923;5;S;593,25;148,32;0,25002;0,74998;;
0000091;2024-07-13;11:10:41.911;6;N;727,89;17,314;0,023787;0,97621;;
0000092;2024-07-13;11:10:43.911;6;N;706,84;68,518;0,096936;0,90306;;
0000093;2024-07-13;11:10:46.911;6;N;685,63;123,77;0,18052;0,81948;;
0000094;2024-07-13;11:10:49.911;6;N;675,04;22,331;0,033081;0,96692;;
0000095;2024-07-13;11:10:51.911;6;N;665,67;89,417;0,13433;0,86567;;
0000096;2024-07-13;11:10:53.911;6;N;651,96;85,62;0,13133;0,86867;;
0000097;2024-07-13;11:10:57.910;6;N;646,66;21,056;0,032561;0,96744;;
0000098;2024-07-13;11:10:59.910;6;N;639;98,55;0,15423;0,84577;;
0000099;2024-07-13;11:11:03.910;6;N;636,47;85,853;0,13489;0,86511;;
0000100;2024-07-13;11:11:39.908;6;S;681,68;142,05;0,20838;0,79162;;
0000101;2024-07-13;11:11:41.908;6;S;709,75;38,888;0,054791;0,94521;;
0000102;2024-07-13;11:11:44.908;6;S;838,89;73,971;0,088177;0,91182;;
0000103;2024-07-13;11:11:47.908;6;S;864,37;229,91;0,26599;0,73401;;
0000104;2024-07-13;11:11:52.908;6;S;1163,3;126,87;0,10907;0,89093;;
0000105;2024-07-13;11:11:55.908;6;S;820,51;29,052;0,035408;0,96459;;
0000106;2024-07-13;11:11:58.907;6;S;750,58;291,15;0,3879;0,6121;;
0000107;2024-07-13;11:12:00.907;6;S;729,97;327,65;0,44885;0,55115;;
0000108;2024-07-13;11:12:03.907;6;S;723,66;59,157;0,081747;0,91825;;
0000109;2024-07-13;11:13:15.904;7;N;763,44;17,352;0,022729;0,97727;;
0000110;2024-07-13;11:13:19.904;7;N;742,18;5,153;0,006943;0,99306;;
0000111;2024-07-13;11:13:25.903;7;N;751,81;30,343;0,04036;0,95964;;
0000112;2024-07-13;11:13:30.903;7;N;756,46;8,7917;0,011622;0,98838;;
0000113;2024-07-13;11:13:35.903;7;N;769,28;10,34;0,013441;0,98656;;
0000114;2024-07-13;11:13:40.903;7;N;782,02;17,109;0,021878;0,97812;;
0000115;2024-07-13;11:13:46.902;7;N;794,72;5,0796;0,0063917;0,99361;;
0000116;2024-07-13;11:13:49.902;7;N;815,09;17,94;0,02201;0,97799;;
0000117;2024-07-13;11:13:51.902;7;N;843,76;83,607;0,099089;0,90091;;
0000118;2024-07-13;11:16:50.893;7;S;822,51;6,3473;0,007717;0,99228;;
0000119;2024-07-13;11:16:52.893;7;S;812,81;11,671;0,014359;0,98564;;
0000120;2024-07-13;11:16:55.893;7;S;812,73;96,357;0,11856;0,88144;;
0000121;2024-07-13;11:17:09.893;7;S;779,06;8,4625;0,010862;0,98914;;
0000122;2024-07-13;11:17:11.892;7;S;778,51;28,581;0,036712;0,96329;;
0000123;2024-07-13;11:17:14.892;7;S;773,71;100,15;0,12944;0,87056;;
0000124;2024-07-13;11:17:17.892;7;S;777,62;23,085;0,029687;0,97031;;
